API,Formation,Formation Top MD,Formation Top TVD,Latitude,Longitude
423013408900,WOLFCAMP,11044,10957,31.8111701,-103.7289311
423013408900,BELL CANYON,3937,3937,31.8111701,-103.7289311
423013400100,BRUSHY CANYON,5975,5968,31.80946,-103.753
423013400100,DELAWARE,3835,3831,31.80946,-103.753
423013400100,BELL CANYON,3870,3866,31.80946,-103.753
423013400100,BONE SPRINGS,7770,7762,31.80946,-103.753
423013400100,WOLFCAMP,10855,10844,31.80946,-103.753
423013400100,CHERRY CANYON,4807,4802,31.80946,-103.753
423013400200,CHERRY CANYON,4854,4807,31.8094633,-103.7528673
423013400200,BRUSHY CANYON,6035,5969,31.8094633,-103.7528673
423013400200,BONE SPRINGS,7831,7765,31.8094633,-103.7528673
423013400200,BELL CANYON,3888,3861,31.8094633,-103.7528673
423013400200,WOLFCAMP,10919,10843,31.8094633,-103.7528673
423013400200,DELAWARE,3857,3831,31.8094633,-103.7528673
423013379800,DELAWARE,3755,3708,31.841261,-103.766361
423013379800,BELL CANYON,3782,3735,31.841261,-103.766361
423013379800,BRUSHY CANYON,6074,6000,31.841261,-103.766361
423013379800,WOLFCAMP,10810,10721,31.841261,-103.766361
423013379800,CHERRY CANYON,4790,4729,31.841261,-103.766361
423013379800,BONE SPRINGS,7798,7722,31.841261,-103.766361
423013379600,BELL CANYON,3796,3739,31.841261,-103.766358
423013379600,WOLFCAMP,10923,10758,31.841261,-103.766358
423013379600,BONE SPRINGS,7817,7737,31.841261,-103.766358
423013379600,BRUSHY CANYON,5999,5922,31.841261,-103.766358
423013379600,DELAWARE,3770,3713,31.841261,-103.766358
423013379600,CHERRY CANYON,4774,4705,31.841261,-103.766358
423013379700,BONE SPRINGS,7812,7748,31.8412611,-103.7662306
423013379700,CHERRY CANYON,4784,4735,31.8412611,-103.7662306
423013379700,BRUSHY CANYON,6011,5948,31.8412611,-103.7662306
423013379700,BELL CANYON,3781,3746,31.8412611,-103.7662306
423013379700,DELAWARE,3752,3718,31.8412611,-103.7662306
423013379700,WOLFCAMP,10833,10754,31.8412611,-103.7662306
423013363500,DELAWARE,4049,4049,31.855341,-103.721168
423013363500,BRUSHY CANYON,6394,6394,31.855341,-103.721168
423013363500,BONE SPRINGS,7978,7978,31.855341,-103.721168
423013363500,BELL CANYON,4049,4049,31.855341,-103.721168
423013363500,WOLFCAMP,11067,11031,31.855341,-103.721168
423013363500,CHERRY CANYON,4909,4909,31.855341,-103.721168
423013363400,DELAWARE,4049,4049,31.8553411,-103.7212807
423013363400,BONE SPRINGS,7978,7978,31.8553411,-103.7212807
423013363400,CHERRY CANYON,4909,4909,31.8553411,-103.7212807
423013363400,BRUSHY CANYON,6394,6394,31.8553411,-103.7212807
423013363400,WOLFCAMP,11102,11031,31.8553411,-103.7212807
423013363400,BELL CANYON,4049,4049,31.8553411,-103.7212807
423013363300,BELL CANYON,4030,4030,31.8550761,-103.7261368
423013363300,DELAWARE,4030,4030,31.8550761,-103.7261368
423013363300,WOLFCAMP,11053,11011,31.8550761,-103.7261368
423013363300,BONE SPRINGS,7958,7958,31.8550761,-103.7261368
423013363300,BRUSHY CANYON,6374,6374,31.8550761,-103.7261368
423013363300,CHERRY CANYON,4889,4889,31.8550761,-103.7261368
423013363200,BRUSHY CANYON,6374,6374,31.8550761,-103.7262495
423013363200,CHERRY CANYON,4889,4889,31.8550761,-103.7262495
423013363200,BONE SPRINGS,7958,7958,31.8550761,-103.7262495
423013363200,WOLFCAMP,11105,11011,31.8550761,-103.7262495
423013363200,DELAWARE,4030,4030,31.8550761,-103.7262495
423013363200,BELL CANYON,4030,4030,31.8550761,-103.7262495
423013363100,WOLFCAMP,11018,10985,31.8320896,-103.7307362
423013363100,BONE SPRINGS,7970,7970,31.8320896,-103.7307362
423013363100,DELAWARE,4031,4031,31.8320896,-103.7307362
423013363100,BRUSHY CANYON,6376,6376,31.8320896,-103.7307362
423013363100,BELL CANYON,4031,4031,31.8320896,-103.7307362
423013363100,CHERRY CANYON,4891,4891,31.8320896,-103.7307362
423013363000,BONE SPRINGS,7970,7970,31.8320898,-103.7308488
423013363000,DELAWARE,4031,4031,31.8320898,-103.7308488
423013363000,BELL CANYON,4031,4031,31.8320898,-103.7308488
423013363000,BRUSHY CANYON,6376,6376,31.8320898,-103.7308488
423013363000,CHERRY CANYON,4891,4891,31.8320898,-103.7308488
423013363000,WOLFCAMP,11029,10985,31.8320898,-103.7308488
423013322300,BELL CANYON,3834,3745,31.841341,-103.766121
423013322300,DELAWARE,3808,3721,31.841341,-103.766121
423013322300,CHERRY CANYON,4864,4736,31.841341,-103.766121
423013322300,BRUSHY CANYON,6070,5918,31.841341,-103.766121
423013322300,BONE SPRINGS,7882,7721,31.841341,-103.766121
423013322300,WOLFCAMP,10902,10720,31.841341,-103.766121
423013320700,DELAWARE,3985,3985,31.8321,-103.734523
423013320700,CHERRY CANYON,4845,4845,31.8321,-103.734523
423013320700,BELL CANYON,3985,3985,31.8321,-103.734523
423013320700,BONE SPRINGS,7914,7914,31.8321,-103.734523
423013320700,BRUSHY CANYON,6330,6330,31.8321,-103.734523
423013320700,WOLFCAMP,11060,10948,31.8321,-103.734523
423013320800,CHERRY CANYON,4845,4845,31.8320946,-103.7344005
423013320800,BRUSHY CANYON,6330,6330,31.8320946,-103.7344005
423013320800,BELL CANYON,3985,3985,31.8320946,-103.7344005
423013320800,BONE SPRINGS,7914,7914,31.8320946,-103.7344005
423013320800,DELAWARE,3985,3985,31.8320946,-103.7344005
423013320800,WOLFCAMP,10983,10948,31.8320946,-103.7344005
423013212800,CHERRY CANYON,4690,4690,31.811325,-103.770324
423013212800,BRUSHY CANYON,6246,6246,31.811325,-103.770324
423013212800,AVALON LWR,8397,8393,31.811325,-103.770324
423013212800,AVALON MID,7984,7980,31.811325,-103.770324
423013212800,AVALON UPR,7647,7643,31.811325,-103.770324
423013212800,BONE SPRING 1ST,8684,8680,31.811325,-103.770324
423013212800,BONE SPRING 2ND,8909,8905,31.811325,-103.770324
423013212800,BONE SPRING 2ND SS,9309,9305,31.811325,-103.770324
423013212800,BONE SPRING 3RD,9759,9755,31.811325,-103.770324
423013212800,BONE SPRING 3RD SS,10359,10336,31.811325,-103.770324
423013212800,BELL CANYON,3771,3771,31.811325,-103.770324
423013212800,BONE SPRINGS,7697,7637,31.811325,-103.770324
423013212800,DELAWARE,3741,3741,31.811325,-103.770324
423013212800,WOLFCAMP,10682,10682,31.811325,-103.770324
423013309700,CHERRY CANYON,4951,4932,31.855049,-103.738409
423013309700,BRUSHY CANYON,6212,6182,31.855049,-103.738409
423013309700,BONE SPRINGS,7961,7928,31.855049,-103.738409
423013309700,BELL CANYON,3986,3974,31.855049,-103.738409
423013309700,WOLFCAMP,11021,10913,31.855049,-103.738409
423013309700,DELAWARE,3960,3950,31.855049,-103.738409
423013225700,CHERRY CANYON,4990,4990,31.838985,-103.735484
423013225700,DELAWARE,3975,3975,31.838985,-103.735484
423013225700,BELL CANYON,3975,3975,31.838985,-103.735484
423013225700,BRUSHY CANYON,5960,5960,31.838985,-103.735484
423013225700,WOLFCAMP,11110,11110,31.838985,-103.735484
423013225700,BONE SPRINGS,9100,9100,31.838985,-103.735484
423013156000,CHERRY CANYON,4690,4690,31.852774,-103.76931
423013156000,BONE SPRING,7590,7590,31.852774,-103.76931
423013156000,BRUSHY CANYON,5960,5960,31.852774,-103.76931
