API Number,True Vertical Depth,Latitude,Longitude,BO/ft,GOR,WOR,FirstProdDate,,,
4230132757,9754,31.88377,103.73782,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9848,31.88377,103.73783,#N/A,#N/A,#N/A,#N/A,,,
4230132757,9943,31.88376,103.73784,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10037,31.88376,103.73785,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10132,31.88376,103.73786,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10225,31.88375,103.73788,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10307,31.88375,103.73789,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10402,31.88373,103.73789,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10494,31.88368,103.73786,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10583,31.88359,103.73782,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10666,31.88347,103.73778,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10740,31.88332,103.73776,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10806,31.88313,103.73775,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10862,31.88292,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10908,31.88269,103.7377,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10942,31.88245,103.73768,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10965,31.88219,103.73767,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10968,31.88215,103.73767,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10976,31.8819,103.73768,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10979,31.88164,103.73769,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10981,31.88138,103.7377,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10981,31.88112,103.7377,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10982,31.88086,103.73771,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.8806,103.73771,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10984,31.88034,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10986,31.88007,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10986,31.87982,103.73772,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87956,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10984,31.8793,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87904,103.73773,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10982,31.87877,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87851,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10984,31.87825,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87799,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87773,103.73774,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87747,103.73775,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87721,103.73776,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87695,103.73777,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87669,103.73778,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10986,31.87643,103.73779,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10986,31.87617,103.73779,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10988,31.87591,103.7378,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10988,31.87565,103.7378,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10988,31.87539,103.73781,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10989,31.87513,103.7378,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10990,31.87487,103.7378,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10989,31.87461,103.73781,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10987,31.87435,103.73782,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10985,31.87409,103.73783,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87383,103.73785,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10982,31.87358,103.73786,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10982,31.87332,103.73787,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87305,103.73789,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87279,103.73791,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10983,31.87253,103.73793,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10986,31.87227,103.73795,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10991,31.87201,103.73796,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10996,31.87175,103.73797,#N/A,#N/A,#N/A,#N/A,,,
4230132757,10999,31.87149,103.73799,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11002,31.87123,103.73799,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11005,31.87097,103.738,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11008,31.87071,103.73801,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11008,31.87045,103.73801,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11006,31.87019,103.73801,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11005,31.86993,103.73801,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11005,31.86967,103.738,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11004,31.86941,103.73799,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11004,31.8693,103.73799,#N/A,#N/A,#N/A,#N/A,,,
4230132757,11004,31.86916,103.73798,#N/A,#N/A,#N/A,#N/A,,,
4230134090,0,31.81117,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,127,31.81117,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,155,31.81117,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,185,31.81117,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,216,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,244,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,300,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,332,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,363,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,394,31.81116,103.72883,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,426,31.81116,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,458,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,489,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,520,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,551,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,583,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,614,31.81115,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,645,31.81114,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,676,31.81114,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,708,31.81114,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,739,31.81114,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,770,31.81114,103.72882,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,801,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,832,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,864,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,895,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,927,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,959,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,986,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,991,31.81114,103.72881,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1022,31.81114,103.7288,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1050,31.81114,103.7288,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1158,31.81114,103.7288,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1346,31.81114,103.72879,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1438,31.81114,103.72879,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1533,31.81114,103.72879,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1721,31.81114,103.72877,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,1908,31.81114,103.72876,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,2096,31.81115,103.72875,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,2283,31.81115,103.72874,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,2471,31.81116,103.72871,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,2658,31.81115,103.72868,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,2845,31.81115,103.72865,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3031,31.81115,103.72861,89.9648895,5754.774806,6.223273045,2019,,,
4230134090,3219,31.81113,103.72857,89.9648895,5754.774806,6.223273045,2019,,,
