API Number,True Vertical Depth,Longitude,Latitude,BO/ft,MCF/ft,BOE/ft
423013597600,3394.78,-103.687532,31.8247115,22,40,63
423013597600,3485.34,-103.6875084,31.8247254,22,40,63
423013597600,3574.82,-103.6874813,31.8247387,22,40,63
423013597600,3664.99,-103.6874446,31.8247504,22,40,63
423013597600,3754.12,-103.6874057,31.824759,22,40,63
423013597600,3844.29,-103.6873667,31.8247633,22,40,63
423013597600,3933.39,-103.6873257,31.8247638,22,40,63
423013597600,4022.61,-103.6872877,31.8247662,22,40,63
423013597600,4113,-103.6872558,31.8247752,22,40,63
423013597600,4202.52,-103.6872305,31.8247885,22,40,63
423013597600,4293.01,-103.687205,31.8248035,22,40,63
423013597600,4383.23,-103.6871733,31.8248219,22,40,63
423013597600,4472.25,-103.6871391,31.8248436,22,40,63
423013597600,4562.29,-103.6871062,31.8248666,22,40,63
423013597600,4652.34,-103.687074,31.8248898,22,40,63
423013597600,4741.44,-103.6870426,31.824912,22,40,63
423013597600,4831.58,-103.6870116,31.824934,22,40,63
423013597600,4920.54,-103.6869763,31.8249562,22,40,63
423013597600,5010.36,-103.6869363,31.8249772,22,40,63
423013597600,5099.36,-103.6868976,31.8249934,22,40,63
423013597600,5189.65,-103.6868635,31.8250045,22,40,63
423013597600,5279.12,-103.6868343,31.8250142,22,40,63
423013597600,5369.65,-103.6868069,31.8250239,22,40,63
423013597600,5459.22,-103.6867809,31.8250336,22,40,63
423013597600,5549.72,-103.686753,31.8250442,22,40,63
423013597600,5639.17,-103.6867235,31.8250553,22,40,63
423013597600,5729.62,-103.6866938,31.8250657,22,40,63
423013597600,5819.15,-103.6866668,31.8250759,22,40,63
423013597600,5909.72,-103.6866419,31.8250873,22,40,63
423013597600,5999.48,-103.6866222,31.8250937,22,40,63
423013597600,6090.43,-103.6866141,31.8250915,22,40,63
423013597600,6181.4,-103.6866146,31.8250859,22,40,63
423013597600,6271.37,-103.6866159,31.8250799,22,40,63
423013597600,6362.37,-103.686617,31.8250771,22,40,63
423013597600,6452.36,-103.686618,31.8250775,22,40,63
423013597600,6543.36,-103.6866198,31.8250767,22,40,63
423013597600,6633.35,-103.6866238,31.8250742,22,40,63
423013597600,6724.32,-103.6866295,31.8250709,22,40,63
423013597600,6814.29,-103.6866355,31.8250673,22,40,63
423013597600,6905.27,-103.6866406,31.8250628,22,40,63
423013597600,6995.23,-103.6866449,31.8250566,22,40,63
423013597600,7086.18,-103.6866493,31.8250494,22,40,63
423013597600,7176.13,-103.6866539,31.8250421,22,40,63
423013597600,7266.08,-103.6866577,31.8250342,22,40,63
423013597600,7357.03,-103.6866602,31.8250263,22,40,63
423013597600,7444.98,-103.6866621,31.8250188,22,40,63
423013597600,7535.94,-103.6866642,31.8250114,22,40,63
423013597600,7625.9,-103.6866665,31.8250042,22,40,63
423013597600,7716.87,-103.6866691,31.8249979,22,40,63
423013597600,7806.84,-103.6866719,31.8249921,22,40,63
423013597600,7897.8,-103.6866748,31.8249855,22,40,63
423013597600,8078.72,-103.6866798,31.8249716,22,40,63
423013597600,8169.71,-103.6866811,31.8249672,22,40,63
423013597600,8259.71,-103.6866815,31.8249665,22,40,63
423013597600,8350.71,-103.6866818,31.8249668,22,40,63
423013597600,8440.7,-103.6866826,31.8249668,22,40,63
423013597600,8530.7,-103.6866837,31.824967,22,40,63
423013597600,8621.7,-103.686685,31.824967,22,40,63
